Year,Month,Professional Area,License Type,County,State,Count
2025,February,Notary Public,Notary Public,Kitsap,WA,2259
2025,February,Private Investigator,Private Investigator,Spokane,WA,56
2025,February,Timeshares,Timeshare Salesperson,Unknown or Out of State,NV,18
2025,February,CDL Training and Examining,CDL Training Provider-School,Unknown or Out of State,NC,1
2025,February,Auctioneers and Auction Company,Auctioneer,Unknown or Out of State,AL,1
2025,February,Appraisers - Real Estate,Temporary Certified General,Unknown or Out of State,IN,1
2025,February,Cosmetology,Esthetician,Unknown or Out of State,LA,7
2025,February,Appraisers - Real Estate,State Licensed Appraiser,Kittitas,WA,4
2025,February,CDL Training and Examining,CDL Training Instructor,Asotin,WA,5
2025,February,Funerals,Funeral Director,Kittitas,WA,5
2025,February,Cosmetology,Cosmetologist,Yakima,WA,1179
2025,February,Cemeteries,Crematory Operator,Kitsap,WA,6
2025,February,Whitewater River Outfitters,Whitewater River Outfitters,Chelan,WA,6
2025,February,Cosmetology,Esthetician,Kittitas,WA,92
2025,February,Architects,Architect Firm,Unknown or Out of State,GA,10
2025,February,Cosmetology,Manicurist,Snohomish,WA,1834
2025,February,Cosmetology,Instructor,Clallam,WA,31
2025,February,Real Estate,Real Estate Firm,Clallam,WA,35
2025,February,Architects,Architect,Unknown or Out of State,OK,25
2025,February,Private Investigator,Private Investigator,Okanogan,WA,5
2025,February,Cosmetology,Manicurist,Thurston,WA,557
2025,February,Combative Sports,Martial Arts Participant,Asotin,WA,1
2025,February,Security Guards,Security Guard,Douglas,WA,80
2025,February,Cemeteries,Cemetery,Whatcom,WA,3
2025,February,Cosmetology,Manicurist,Grays Harbor,WA,54
2025,February,CDL Training and Examining,CDL Training Provider-Employer,Chelan,WA,15
2025,February,Court Reporters,Court Reporter,Unknown or Out of State,MD,3
2025,February,Funerals,Embalmer,Island,WA,3
2025,February,Real Estate,Real Estate Managing Broker,Yakima,WA,89
2025,February,CDL Training and Examining,CDL Training Instructor,Skagit,WA,40
2025,February,Funerals,Prearrangement Funeral Services,Snohomish,WA,12
2025,February,Cosmetology,Hair Designer,Walla Walla,WA,3
2025,February,Bail Bonds,Bail Bond Agent,Unknown or Out of State,OR,1
2025,February,Private Investigator,Private Investigator,Chelan,WA,3
2025,February,Appraisers - Real Estate,State Licensed Appraiser,Okanogan,WA,2
2025,February,Auctioneers and Auction Company,Auctioneer,Thurston,WA,8
2025,February,Architects,Architect Firm,Klickitat,WA,1
2025,February,Funerals,Funeral Director Intern,Whatcom,WA,11
2025,February,Real Estate,Real Estate Branch,Grant,WA,5
2025,February,Funerals,Funeral Director,Franklin,WA,2
2025,February,Real Estate,Real Estate Instructor,Whatcom,WA,11
2025,February,Architects,Architect,Unknown or Out of State,MS,6
2025,February,Private Investigator,Private Investigator Agency,Pend Oreille,WA,2
