Year,Month,Professional Area,License Type,County,State,Count
2025,February,Cosmetology,Hair Designer,Skamania,WA,4
2025,February,Combative Sports,Wrestling Participant,Unknown or Out of State,TX,1
2025,February,Cosmetology,Instructor,Lewis,WA,12
2025,February,Architects,Architect,Unknown or Out of State,VA,46
2025,February,Cosmetology,Barber,Unknown or Out of State,OH,6
2025,February,Private Investigator,Private Investigator Agency,King,WA,187
2025,February,Cemeteries,Crematory Operator,Spokane,WA,23
2025,February,Cosmetology,Manicurist,Unknown or Out of State,AL,7
2025,February,Funerals,Embalmer,Cowlitz,WA,8
2025,February,Architects,Architect,Unknown or Out of State,AR,19
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Whatcom,WA,47
2025,February,Appraisal Management Companies,Appraisal Management Company,Unknown or Out of State,CA,28
2025,February,Cosmetology,Esthetician,Unknown or Out of State,TX,80
2025,February,Real Estate,Real Estate Managing Broker,Thurston,WA,206
2025,February,Cosmetology,Master Esthetician,Whatcom,WA,66
2025,February,Architects,Architect Firm,Unknown or Out of State,MI,12
2025,February,Geologist,Geologist,Grant,WA,3
2025,February,CDL Training and Examining,CDL Training Provider-Employer,Unknown or Out of State,CA,2
2025,February,Body Art and Body Piercing,Tattoo Artist,Unknown or Out of State,NM,5
2025,February,Geologist,Geologist In Training,Whitman,WA,1
2025,February,Cosmetology,Personal Service,Adams,WA,1
2025,February,Cosmetology,Esthetician,Unknown or Out of State,DC,7
2025,February,Cosmetology,Master Esthetician,Unknown or Out of State,AK,4
2025,February,Architects,Architect Firm,Unknown or Out of State,NE,2
2025,February,Private Investigator,Private Investigator Agency,Walla Walla,WA,3
2025,February,Bail Bonds,Bail Bond Agent,Mason,WA,1
2025,February,Real Estate,Real Estate Instructor,Unknown or Out of State,GA,4
2025,February,Appraisers - Real Estate,Appraiser Trainee,Unknown or Out of State,MT,1
2025,February,Security Guards,Security Guard Company,Jefferson,WA,1
2025,February,Bail Bonds,Bail Bond Agent,Grays Harbor,WA,1
2025,February,Funerals,Prearrangement Funeral Services,Island,WA,2
2025,February,Body Art and Body Piercing,Permanent Cosmetics,Jefferson,WA,1
2025,February,Real Estate,Real Estate Course,Unknown or Out of State,NC,1
2025,February,Combative Sports,Announcer,Unknown or Out of State,OR,1
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,KS,15
2025,February,Real Estate,Real Estate Broker,Unknown or Out of State,AL,2
2025,February,Cosmetology,Instructor,Yakima,WA,90
2025,February,Architects,Architect,Clark,WA,75
2025,February,Home Inspector,Home Inspector Courses,Whatcom,WA,1
2025,February,Funerals,Embalmer,Walla Walla,WA,3
2025,February,Funerals,Prearrangement Funeral Services,Kitsap,WA,4
2025,February,Geologist,Geologist In Training,Benton,WA,13
2025,February,Private Investigator,Private Investigator,Unknown or Out of State,LA,1
2025,February,Geologist,Geologist In Training,Unknown or Out of State,AR,1
2025,February,Security Guards,Security Guard Company,Kitsap,WA,12
2025,February,Appraisers - Real Estate,Certified General Appraiser,Unknown or Out of State,MN,3
2025,February,CDL Training and Examining,CDL Skills Testing Examiner,King,WA,2
2025,February,Body Art and Body Piercing,Body Art (Branding/Scarification),Unknown or Out of State,NV,1
2025,February,Funerals,Embalmer,Unknown or Out of State,OR,14
2025,February,Appraisers - Real Estate,Appraiser Course,Unknown or Out of State,TX,10
2025,February,Combative Sports,Judge,Clark,WA,2
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Unknown or Out of State,UT,1
2025,February,Sellers of Travel,Sellers of Travel,Franklin,WA,5
2025,February,Architects,Architect Firm,Unknown or Out of State,AL,5
2025,February,Body Art and Body Piercing,Body Piercing,Unknown or Out of State,ID,2
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Unknown or Out of State,GA,5
2025,February,Auctioneers and Auction Company,Auction Company,Stevens,WA,1
2025,February,Real Estate,Real Estate School,Unknown or Out of State,VA,1
2025,February,Appraisers - Real Estate,Certified General Appraiser,Unknown or Out of State,SD,1
2025,February,Private Investigator,Private Investigator,Island,WA,5
2025,February,Combative Sports,Boxing Participant,Unknown or Out of State,NM,1
2025,February,Cosmetology,Salon Shop,Unknown or Out of State,ID,2
2025,February,Geologist,Geologist,Wahkiakum,WA,2
2025,February,Sellers of Travel,Sellers of Travel Branch,Franklin,WA,1
2025,February,Funerals,Prearrangement Funeral Services,Mason,WA,1
2025,February,Timeshares,Timeshare Salesperson,Whatcom,WA,22
2025,February,Home Inspector,Home Inspector,Pierce,WA,138
2025,February,Cosmetology,Master Esthetician,Spokane,WA,242
2025,February,Collection Agency,Out Of State Collection Agency Branch,Unknown or Out of State,MS,3
2025,February,Sellers of Travel,Sellers of Travel,Unknown or Out of State,MA,1
2025,February,Appraisers - Real Estate,Certified General Appraiser,Unknown or Out of State,NM,1
2025,February,Bail Bonds,Bail Bond Agent,Douglas,WA,2
2025,February,Funerals,Prearrangement Funeral Services,Walla Walla,WA,2
2025,February,Geologist,Geologist In Training,Unknown or Out of State,CA,1
2025,February,Appraisers - Real Estate,Certified General Appraiser,Clallam,WA,3
2025,February,Auctioneers and Auction Company,Auctioneer,Clark,WA,2
2025,February,Geologist,Geologist,Columbia,WA,1
2025,February,Cosmetology,Personal Service,Cowlitz,WA,1
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Unknown or Out of State,WI,1
2025,February,Cemeteries,Cemetery,Jefferson,WA,1
2025,February,Funerals,Embalmer,Unknown or Out of State,ME,2
2025,February,CDL Training and Examining,CDL Training Provider-School,Pierce,WA,13
2025,February,Security Guards,Security Guard,Unknown or Out of State,NV,14
2025,February,Cosmetology,Cosmetologist,Clallam,WA,300
2025,February,Cosmetology,Esthetician,Unknown or Out of State,ID,112
2025,February,Appraisers - Real Estate,Certified General Appraiser,Unknown or Out of State,MT,3
2025,February,Sellers of Travel,Out of State Seller of Travel,Unknown or Out of State,KY,3
2025,February,Cosmetology,Barber,Mason,WA,27
2025,February,Cosmetology,Barber,Unknown or Out of State,AZ,22
2025,February,Cosmetology,Master Esthetician,Unknown or Out of State,ID,25
2025,February,Notary Public,Notary Public,Clark,WA,4569
2025,February,Court Reporters,Court Reporter,Unknown or Out of State,MI,7
2025,February,Auctioneers and Auction Company,Auction Company,Unknown or Out of State,OH,3
2025,February,Architects,Architect,Unknown or Out of State,MT,40
2025,February,Real Estate,Real Estate Instructor,Snohomish,WA,90
2025,February,Cosmetology,Manicurist,Pacific,WA,18
2025,February,Collection Agency,Out Of State Collection Agency,Unknown or Out of State,DE,8
2025,February,Real Estate,Real Estate Managing Broker,Pierce,WA,777
2025,February,Security Guards,Security Guard,Thurston,WA,530
2025,February,Architects,Architect Firm,Unknown or Out of State,CA,50
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,KY,8
2025,February,Court Reporters,Court Reporter,Cowlitz,WA,1
2025,February,Appraisers - Real Estate,Appraiser Course,Unknown or Out of State,KY,1
2025,February,Cosmetology,Barber,Unknown or Out of State,VA,3
2025,February,Funerals,Academic Intern,Thurston,WA,1
2025,February,Body Art and Body Piercing,Body Piercing,Franklin,WA,3
2025,February,Architects,Architect Firm,Cowlitz,WA,2
2025,February,Home Inspector,Home Inspector Courses,Kittitas,WA,1
2025,February,Combative Sports,Wrestling Participant,Unknown or Out of State,GA,1
2025,February,Security Guards,Security Guard,Unknown or Out of State,HI,1
2025,February,Private Investigator,Private Investigator Agency,Unknown or Out of State,OR,4
2025,February,Real Estate,Real Estate Branch,Unknown or Out of State,Out of State,3
2025,February,Court Reporters,Court Reporter,Unknown or Out of State,WY,1
2025,February,Combative Sports,Theatrical Wrestling School,Spokane,WA,1
2025,February,Auctioneers and Auction Company,Auction Company,Kitsap,WA,2
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Mason,WA,1
2025,February,Body Art and Body Piercing,Tattoo Artist,Skamania,WA,2
2025,February,Body Art and Body Piercing,Permanent Cosmetics,Unknown or Out of State,MO,1
2025,February,Cemeteries,Crematory,Thurston,WA,3
2025,February,Appraisers - Real Estate,Appraiser Course,Unknown or Out of State,PA,47
2025,February,Notary Public,Notary Public,Kittitas,WA,454
2025,February,Cosmetology,Hair Designer,Whatcom,WA,25
2025,February,Sellers of Travel,Out of State Seller of Travel Branch,Unknown or Out of State,Out of State,1
2025,February,Cosmetology,Cosmetologist,Clark,WA,2087
2025,February,Funerals,Embalmer,Snohomish,WA,28
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Chelan,WA,12
2025,February,Body Art and Body Piercing,Tattoo Artist,Stevens,WA,6
2025,February,Real Estate,Real Estate Broker,Cowlitz,WA,235
2025,February,Real Estate,Real Estate Managing Broker,Franklin,WA,40
2025,February,Appraisers - Real Estate,Temporary Certified General,Unknown or Out of State,MO,3
2025,February,Home Inspector,Home Inspector,Mason,WA,8
2025,February,Bail Bonds,Bail Bond Recovery Agent,King,WA,18
2025,February,Cemeteries,Crematory Operator,Snohomish,WA,14
2025,February,Real Estate,Real Estate Broker,Adams,WA,23
2025,February,Cemeteries,Final Disposition Permit,Pierce,WA,7
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,CA,866
2025,February,Private Investigator,Private Investigator Agency,Pierce,WA,87
2025,February,Collection Agency,Collection Agency Branch,King,WA,2
2025,February,Combative Sports,Referee,Unknown or Out of State,NV,1
2025,February,Combative Sports,Referee,Yakima,WA,1
2025,February,Real Estate,Real Estate Branch,Klickitat,WA,5
2025,February,Court Reporters,Court Reporter,Unknown or Out of State,GA,4
2025,February,Court Reporters,Court Reporter,Unknown or Out of State,UT,4
2025,February,Whitewater River Outfitters,Whitewater River Outfitters,Cowlitz,WA,1
2025,February,CDL Training and Examining,CDL Training Provider-Employer,Unknown or Out of State,IA,1
2025,February,Combative Sports,Physician,Unknown or Out of State,OR,1
2025,February,Landscape Architects,Landscape Architect,Unknown or Out of State,MD,3
2025,February,Cosmetology,Personal Service,Stevens,WA,3
2025,February,Cosmetology,Master Esthetician,Jefferson,WA,3
2025,February,Geologist,Geologist,Unknown or Out of State,SD,2
2025,February,Funerals,Funeral Establishment Branch,Island,WA,1
2025,February,Cosmetology,Salon Shop,Spokane,WA,1030
2025,February,Geologist,Geologist,Unknown or Out of State,OH,4
2025,February,Real Estate,Real Estate Branch,Clark,WA,32
2025,February,Security Guards,Security Guard,Whatcom,WA,260
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,AL,12
2025,February,Architects,Architect,Unknown or Out of State,CO,123
2025,February,Appraisal Management Companies,Appraisal Management Company,Unknown or Out of State,PA,13
2025,February,Combative Sports,Judge,Unknown or Out of State,FL,1
2025,February,Combative Sports,Martial Arts Participant,Kitsap,WA,2
2025,February,Court Reporters,Court Reporter,Unknown or Out of State,CA,76
2025,February,Cosmetology,Personal Service,King,WA,35
2025,February,Cosmetology,School,Clark,WA,3
2025,February,Real Estate,Real Estate Managing Broker,Unknown or Out of State,CA,114
2025,February,Appraisers - Real Estate,Certified General Appraiser,Unknown or Out of State,NJ,8
2025,February,Body Art and Body Piercing,Tattoo Artist,Unknown or Out of State,OH,1
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,NH,3
2025,February,Home Inspector,Home Inspector Courses,Thurston,WA,8
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Grant,WA,10
2025,February,Bail Bonds,Bail Bond Agent,Spokane,WA,11
2025,February,Landscape Architects,Landscape Architect,Skagit,WA,6
2025,February,Private Investigator,Private Investigator Agency,Spokane,WA,46
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Unknown or Out of State,NC,1
2025,February,Appraisal Management Companies,Appraisal Management Company,Unknown or Out of State,KS,3
2025,February,Combative Sports,Wrestling Participant,Unknown or Out of State,CO,1
2025,February,Combative Sports,Wrestling Participant,Unknown or Out of State,MT,1
2025,February,Cosmetology,Personal Service,San Juan,WA,1
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Unknown or Out of State,NV,1
2025,February,Sellers of Travel,Out of State Seller of Travel,Unknown or Out of State,KS,1
2025,February,Security Guards,Security Guard Company,Ferry,WA,1
2025,February,Collection Agency,Collection Agency,Douglas,WA,1
2025,February,CDL Training and Examining,CDL Training Instructor,Whatcom,WA,62
2025,February,Body Art and Body Piercing,Body Piercing,Skagit,WA,8
2025,February,Architects,Architect,Unknown or Out of State,MN,76
2025,February,Commercial Telephone Solicitors,Commercial Telephone Solicitors,Unknown or Out of State,SC,2
2025,February,Real Estate,Real Estate Firm,Whitman,WA,23
2025,February,Funerals,Funeral Director Intern,Skagit,WA,5
2025,February,Geologist,Geologist,Clark,WA,47
2025,February,Real Estate,Real Estate Firm,Grant,WA,34
2025,February,Cosmetology,Manicurist,Jefferson,WA,24
2025,February,Body Art and Body Piercing,Tattoo Artist,Whatcom,WA,113
2025,February,Cosmetology,Barber,Walla Walla,WA,41
2025,February,Architects,Architect,Yakima,WA,23
2025,February,CDL Training and Examining,CDL Training Provider-Employer,Spokane,WA,38
2025,February,Notary Public,Notary Public,Douglas,WA,451
2025,February,Combative Sports,Amateur Training Facility,Spokane,WA,1
2025,February,Home Inspector,Home Inspector,Yakima,WA,19
2025,February,Cosmetology,Salon Shop,Benton,WA,416
2025,February,Real Estate,Real Estate Managing Broker,Douglas,WA,20
2025,February,Body Art and Body Piercing,Permanent Cosmetics,Pacific,WA,1
2025,February,Cosmetology,Mobile Unit,Clark,WA,1
2025,February,Cosmetology,Master Esthetician,Unknown or Out of State,CA,14
2025,February,Cosmetology,Manicurist,Unknown or Out of State,CT,5
2025,February,Cosmetology,Esthetician,Unknown or Out of State,MN,8
2025,February,Body Art and Body Piercing,Tattoo Artist,Lincoln,WA,2
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Skagit,WA,15
2025,February,Collection Agency,Out Of State Collection Agency,Unknown or Out of State,MO,2
2025,February,Funerals,Embalmer,Unknown or Out of State,CA,6
2025,February,Real Estate,Real Estate Managing Broker,Benton,WA,145
2025,February,Cosmetology,Manicurist,Unknown or Out of State,NY,12
2025,February,Real Estate,Real Estate Managing Broker,Snohomish,WA,786
2025,February,Real Estate,Real Estate Broker,Grays Harbor,WA,196
2025,February,Geologist,Geologist,Pierce,WA,82
2025,February,Combative Sports,Martial Arts Participant,King,WA,7
2025,February,Body Art and Body Piercing,Permanent Cosmetics,Thurston,WA,57
2025,February,Cosmetology,Manicurist,Lewis,WA,67
2025,February,Architects,Architect,Unknown or Out of State,TX,149
2025,February,Cemeteries,Alkaline Hydrolysis Operator,Thurston,WA,1
2025,February,Real Estate,Real Estate Firm,Mason,WA,24
2025,February,Funerals,Funeral Director,Unknown or Out of State,AZ,4
2025,February,Security Guards,Security Guard Company,Franklin,WA,3
2025,February,Body Art and Body Piercing,Tattoo Artist,Pierce,WA,340
2025,February,Cosmetology,Manicurist,Chelan,WA,92
2025,February,Cosmetology,School,Thurston,WA,5
2025,February,Real Estate,Real Estate Instructor,Unknown or Out of State,ID,7
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,AR,11
2025,February,Appraisers - Real Estate,Certified General Appraiser,Unknown or Out of State,NV,4
2025,February,Geologist,Geologist,Unknown or Out of State,MD,5
2025,February,Sellers of Travel,Out of State Seller of Travel,Unknown or Out of State,VA,14
2025,February,Cemeteries,Crematory Operator,Pierce,WA,35
2025,February,Timeshares,Timeshare Company,Thurston,WA,1
2025,February,Cosmetology,Esthetician,Unknown or Out of State,AL,5
2025,February,Sellers of Travel,Sellers of Travel,Lewis,WA,8
2025,February,Body Art and Body Piercing,Artist Event,Thurston,WA,2
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Jefferson,WA,4
2025,February,Security Guards,Security Guard,Unknown or Out of State,NC,3
2025,February,Landscape Architects,Landscape Architect,Unknown or Out of State,NV,3
2025,February,Appraisers - Real Estate,Appraiser Course,Unknown or Out of State,VT,9
2025,February,Real Estate,Real Estate Instructor,Unknown or Out of State,MA,1
2025,February,Cosmetology,Instructor,Island,WA,12
2025,February,Cosmetology,Cosmetologist,King,WV,1
2025,February,Funerals,Funeral Establishment,Pacific,WA,2
2025,February,Cemeteries,Final Disposition Permit,Clark,WA,1
2025,February,Funerals,Funeral Establishment,Whatcom,WA,10
2025,February,Cosmetology,Esthetician,Unknown or Out of State,MA,9
2025,February,Architects,Architect Firm,Jefferson,WA,6
2025,February,Architects,Architect Firm,Yakima,WA,9
2025,February,Commercial Telephone Solicitors,Commercial Telephone Solicitors,Unknown or Out of State,OH,3
2025,February,Auctioneers and Auction Company,Auction Company,Unknown or Out of State,NY,1
2025,February,Real Estate,Real Estate Instructor,Whitman,WA,2
2025,February,Collection Agency,Out Of State Collection Agency,Unknown or Out of State,LA,2
2025,February,Landscape Architects,Landscape Architect,Unknown or Out of State,MT,2
2025,February,Private Investigator,Private Investigator,Unknown or Out of State,NC,3
2025,February,Sellers of Travel,Sellers of Travel Branch,Spokane,WA,1
2025,February,Appraisers - Real Estate,Appraiser Trainee,Grant,WA,2
2025,February,Home Inspector,Home Inspector Courses,Snohomish,WA,1
2025,February,Private Investigator,Private Investigator,Lincoln,WA,2
2025,February,Funerals,Academic Intern,Snohomish,WA,4
2025,February,Cosmetology,Personal Service,Island,WA,1
2025,February,Security Guards,Security Guard Company,Mason,WA,2
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Lincoln,WA,1
2025,February,Security Guards,Security Guard,Unknown or Out of State,MS,1
2025,February,Cosmetology,Master Esthetician,Unknown or Out of State,MA,1
2025,February,Combative Sports,Amateur Training Facility,Thurston,WA,1
2025,February,CDL Training and Examining,CDL Training Provider-Employer,Unknown or Out of State,GA,1
2025,February,Bail Bonds,Bail Bond Agency,Whatcom,WA,2
2025,February,Architects,Architect Firm,Unknown or Out of State,DE,1
2025,February,Cosmetology,Master Esthetician,Whitman,WA,2
2025,February,Cosmetology,Postsecondary School,Snohomish,WA,1
2025,February,Body Art and Body Piercing,Artist Shop,Pend Oreille,WA,1
2025,February,Combative Sports,Boxing Participant,Unknown or Out of State,MO,1
2025,February,Private Investigator,Private Investigator Agency,Unknown or Out of State,NJ,1
2025,February,CDL Training and Examining,CDL Training Instructor,King,WA,181
2025,February,Security Guards,Security Guard,Chelan,WA,87
2025,February,Real Estate,Real Estate Firm,Klickitat,WA,23
2025,February,Timeshares,Timeshare Salesperson,Unknown or Out of State,FL,34
2025,February,Real Estate,Real Estate Managing Broker,Unknown or Out of State,VA,3
2025,February,Cosmetology,Master Esthetician,King,WA,933
2025,February,Security Guards,Security Guard,Kitsap,WA,238
2025,February,Funerals,Funeral Director,Snohomish,WA,45
2025,February,Architects,Architect Firm,Kitsap,WA,45
2025,February,Real Estate,Real Estate Managing Broker,Unknown or Out of State,CO,11
2025,February,Real Estate,Real Estate Course,Unknown or Out of State,MA,10
2025,February,Cosmetology,Hair Designer,Thurston,WA,15
2025,February,Sellers of Travel,Out of State Seller of Travel,Unknown or Out of State,SD,1
2025,February,Collection Agency,Out Of State Collection Agency,Unknown or Out of State,TN,8
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Unknown or Out of State,MN,2
2025,February,Collection Agency,Collection Agency Branch,Unknown or Out of State,OH,12
2025,February,Body Art and Body Piercing,Artist Shop,Unknown or Out of State,PA,1
2025,February,Cosmetology,Hair Designer,Grays Harbor,WA,1
2025,February,Cosmetology,School,Cowlitz,WA,2
2025,February,Real Estate,Real Estate School,Unknown or Out of State,ID,3
2025,February,Real Estate,Real Estate Managing Broker,Unknown or Out of State,HI,5
2025,February,Funerals,Embalmer Intern,Skagit,WA,8
2025,February,Real Estate,Real Estate Broker,Unknown or Out of State,NY,4
2025,February,Cosmetology,Esthetician,Unknown or Out of State,UT,6
2025,February,Cosmetology,Master Esthetician,Unknown or Out of State,HI,5
2025,February,Combative Sports,Matchmaker,Unknown or Out of State,CA,1
2025,February,Geologist,Geologist,Unknown or Out of State,CT,2
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Unknown or Out of State,MT,2
2025,February,Home Inspector,Home Inspector,Unknown or Out of State,VA,1
2025,February,Body Art and Body Piercing,Tattoo Artist,Unknown or Out of State,CT,1
2025,February,Court Reporters,Court Reporter,Unknown or Out of State,MA,2
2025,February,Bail Bonds,Bail Bond Agent,Skagit,WA,2
2025,February,Geologist,Geologist,Unknown or Out of State,DC,1
2025,February,Combative Sports,Martial Arts Participant,Unknown or Out of State,WI,1
2025,February,Funerals,Funeral Director,Klickitat,WA,1
2025,February,Sellers of Travel,Out of State Seller of Travel,Unknown or Out of State,ME,2
2025,February,Combative Sports,Kickboxing Participant,Pierce,WA,1
2025,February,Appraisal Management Companies,Appraisal Management Company,Unknown or Out of State,CT,1
2025,February,Sellers of Travel,Out of State Seller of Travel,Unknown or Out of State,IN,5
2025,February,Auctioneers and Auction Company,Auctioneer,Kitsap,WA,2
2025,February,Cosmetology,Instructor,Unknown or Out of State,UT,2
2025,February,Cosmetology,Postsecondary School,Spokane,WA,1
2025,February,Body Art and Body Piercing,Tattoo Artist,Unknown or Out of State,KS,1
2025,February,Appraisers - Real Estate,Certified General Appraiser,Unknown or Out of State,MI,2
2025,February,Cemeteries,Cemetery,Pacific,WA,1
2025,February,Combative Sports,Promoter,Unknown or Out of State,NY,1
2025,February,Whitewater River Outfitters,Whitewater River Outfitters,Stevens,WA,1
2025,February,Cemeteries,Final Disposition Permit,San Juan,WA,1
2025,February,Combative Sports,Second,Spokane,WA,1
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,WV,5
2025,February,Cosmetology,Cosmetologist,Klickitat,WA,45
2025,February,Cosmetology,Manicurist,Unknown or Out of State,LA,18
2025,February,Auctioneers and Auction Company,Auction Company,Unknown or Out of State,TX,2
2025,February,Cosmetology,Instructor,Unknown or Out of State,IA,1
2025,February,Appraisers - Real Estate,Certified General Appraiser,Unknown or Out of State,MD,3
2025,February,Real Estate,Real Estate Broker,Unknown or Out of State,FL,23
2025,February,Geologist,Geologist In Training,Clark,WA,6
2025,February,Cosmetology,Instructor,Whatcom,WA,52
2025,February,Private Investigator,Private Investigator,Lewis,WA,5
2025,February,Private Investigator,Private Investigator,Snohomish,WA,135
2025,February,Collection Agency,Collection Agency,King,WA,61
2025,February,Cosmetology,Esthetician,King,WA,4225
2025,February,Security Guards,Security Guard,Franklin,WA,86
2025,February,Court Reporters,Court Reporter,Unknown or Out of State,ID,23
2025,February,CDL Training and Examining,CDL Training Provider-Employer,Okanogan,WA,12
2025,February,Real Estate,Real Estate Instructor,Unknown or Out of State,Out of State,2
2025,February,Cosmetology,Cosmetologist,Mason,WA,253
2025,February,Cosmetology,Esthetician,Unknown or Out of State,HI,15
2025,February,Funerals,Funeral Director Intern,Thurston,WA,6
2025,February,Cosmetology,School,Franklin,WA,4
2025,February,Appraisers - Real Estate,State Licensed Appraiser,Thurston,WA,3
2025,February,Landscape Architects,Landscape Architect,Unknown or Out of State,FL,4
2025,February,Landscape Architects,Landscape Architect,Unknown or Out of State,SD,3
2025,February,Cosmetology,Master Esthetician,Unknown or Out of State,MN,1
2025,February,Real Estate,Real Estate School,Unknown or Out of State,CA,12
2025,February,Appraisers - Real Estate,Appraiser Trainee,Clark,WA,6
2025,February,Bail Bonds,Bail Bond Agent,Cowlitz,WA,7
2025,February,Cosmetology,Esthetician,Ferry,WA,7
2025,February,Real Estate,Real Estate Instructor,Lewis,WA,2
2025,February,Architects,Architect Firm,Unknown or Out of State,NJ,6
2025,February,Geologist,Geologist In Training,Klickitat,WA,1
2025,February,Cosmetology,Esthetician,Unknown or Out of State,WV,1
2025,February,Appraisal Management Companies,Appraisal Management Company,Unknown or Out of State,MA,1
2025,February,Private Investigator,Private Investigator,Unknown or Out of State,PA,2
2025,February,Body Art and Body Piercing,Body Piercing,Island,WA,1
2025,February,Appraisers - Real Estate,Temporary Certified General,Unknown or Out of State,KS,1
2025,February,Cosmetology,Esthetician,Unknown or Out of State,WY,2
2025,February,Real Estate,Real Estate School,Unknown or Out of State,TN,2
2025,February,Cemeteries,Cemetery,Ferry,WA,2
2025,February,Cemeteries,Cemetery,Yakima,WA,4
2025,February,Cosmetology,Master Esthetician,Unknown or Out of State,WY,1
2025,February,Sellers of Travel,Sellers of Travel Branch,Thurston,WA,1
2025,February,Camping Resorts,Camping Resort Company,Kittitas,WA,1
2025,February,Appraisal Management Companies,Appraisal Management Company,Unknown or Out of State,ID,1
2025,February,Collection Agency,Out Of State Collection Agency Branch,Unknown or Out of State,CA,72
2025,February,Real Estate,Real Estate Instructor,Unknown or Out of State,PA,9
2025,February,Funerals,Prearrangement Funeral Services,Wahkiakum,WA,1
2025,February,Combative Sports,Referee,Unknown or Out of State,NY,1
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,BC,6
2025,February,Cosmetology,Manicurist,Cowlitz,WA,138
2025,February,Geologist,Geologist,Thurston,WA,99
2025,February,Architects,Architect,Unknown or Out of State,KS,30
2025,February,Appraisers - Real Estate,Certified General Appraiser,Snohomish,WA,38
2025,February,Security Guards,Security Guard,Walla Walla,WA,20
2025,February,Cosmetology,Esthetician,Benton,WA,288
2025,February,Body Art and Body Piercing,Tattoo Artist,Spokane,WA,236
2025,February,Cosmetology,Esthetician,Unknown or Out of State,IN,6
2025,February,Architects,Architect Firm,Unknown or Out of State,MD,6
2025,February,Appraisers - Real Estate,Certified Residential Appraiser,Kittitas,WA,10
2025,February,Collection Agency,Collection Agency Branch,Unknown or Out of State,TN,7
2025,February,Cemeteries,Crematory,Okanogan,WA,2
2025,February,Cemeteries,Cemetery,Kittitas,WA,3
2025,February,Cosmetology,Esthetician,Unknown or Out of State,RI,1
2025,February,Cosmetology,Instructor,Unknown or Out of State,MN,2
2025,February,Architects,Architect,Cowlitz,WA,10
2025,February,Body Art and Body Piercing,Artist Mobile Unit,Benton,WA,1
2025,February,Architects,Architect,Wahkiakum,WA,1
2025,February,Sellers of Travel,Out of State Seller of Travel Branch,Unknown or Out of State,FL,1
2025,February,Cosmetology,Mobile Unit,King,WA,3
2025,February,Funerals,Embalmer Intern,Unknown or Out of State,ID,1
2025,February,Notary Public,Notary Public,Unknown or Out of State,CA,6
2025,February,Combative Sports,Judge,Unknown or Out of State,GA,1
2025,February,Commercial Telephone Solicitors,Commercial Telephone Solicitors,Thurston,WA,4
2025,February,Cosmetology,Mobile Unit,Snohomish,WA,4
2025,February,Real Estate,Real Estate Instructor,Unknown or Out of State,IA,1
2025,February,Security Guards,Security Guard,Unknown or Out of State,NE,1
2025,February,CDL Training and Examining,CDL Training Provider-Employer,Unknown or Out of State,MO,2
2025,February,Cosmetology,Instructor,Pacific,WA,1
2025,February,Cemeteries,Crematory Operator,Unknown or Out of State,OR,2
2025,February,Bail Bonds,Bail Bond Agency Branch,King,WA,2
2025,February,Combative Sports,Second,Unknown or Out of State,PA,2
2025,February,Private Investigator,Private Investigator,Unknown or Out of State,TN,1
2025,February,Camping Resorts,Camping Resort Company,Unknown or Out of State,IL,1
2025,February,Architects,Architect Firm,Unknown or Out of State,AB,1
2025,February,Appraisers - Real Estate,Certified General Appraiser,Unknown or Out of State,HI,1
2025,February,Collection Agency,Collection Agency,Franklin,WA,1
2025,February,Real Estate,Real Estate Broker,Unknown or Out of State,NH,1
2025,February,Cosmetology,School,Skagit,WA,1
2025,February,Cosmetology,Esthetician,Yakima,WA,366
2025,February,Collection Agency,Collection Agency,Snohomish,WA,106
2025,February,Private Investigator,Private Investigator,Whatcom,WA,24
2025,February,Funerals,Embalmer,Thurston,WA,12
2025,February,Cosmetology,Esthetician,Spokane,WA,1029
2025,February,Cosmetology,Esthetician,Thurston,WA,454
2025,February,Sellers of Travel,Sellers of Travel,Thurston,WA,28
2025,February,Real Estate,Real Estate Broker,Unknown or Out of State,AZ,57
2025,February,Architects,Architect,Unknown or Out of State,MI,33
2025,February,Cosmetology,Barber,Grant,WA,75
